date,time,time_epoch,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
2023-06-28,00:00,1687889700,20.7,69.3,0,Light rain shower,1.8,2.9,193,SSW,1007.0,29.75,0.3,0.01,91,80,20.7,69.3,20.7,69.3,20.7,69.3,19.2,66.6,0,0,0,0,10.0,6.0,2.7,4.3,1.0
2023-06-28,01:00,1687893300,19.9,67.8,0,Patchy rain possible,1.6,2.5,192,SSW,1007.0,29.74,0.5,0.02,93,71,19.9,67.8,19.9,67.8,19.9,67.8,18.7,65.7,0,0,0,0,9.0,5.0,2.7,4.3,1.0
2023-06-28,02:00,1687896900,19.3,66.7,0,Light rain shower,0.9,1.4,244,WSW,1007.0,29.74,1.6,0.06,94,79,19.3,66.7,19.3,66.7,19.3,66.7,18.2,64.8,0,0,0,0,10.0,6.0,1.6,2.5,1.0
2023-06-28,03:00,1687900500,18.7,65.7,0,Patchy rain possible,1.3,2.2,275,W,1007.0,29.73,0.5,0.02,93,88,18.7,65.7,18.7,65.7,18.7,65.7,17.6,63.7,0,0,0,0,9.0,5.0,2.5,4.0,1.0
2023-06-28,04:00,1687904100,18.6,65.5,0,Patchy rain possible,0.4,0.7,241,WSW,1007.0,29.74,0.4,0.02,93,87,18.6,65.5,18.6,65.5,18.6,65.5,17.5,63.5,0,0,0,0,9.0,5.0,0.9,1.4,1.0
2023-06-28,05:00,1687907700,19.0,66.2,0,Light rain shower,0.2,0.4,24,NNE,1008.0,29.75,2.4,0.09,93,73,19.0,66.2,19.0,66.2,19.0,66.2,17.8,64.0,0,0,0,0,10.0,6.0,0.4,0.7,1.0
2023-06-28,06:00,1687911300,19.9,67.8,1,Overcast,0.9,1.4,348,NNW,1008.0,29.77,0.0,0.0,88,100,19.9,67.8,19.9,67.8,19.9,67.8,17.9,64.2,0,0,0,0,10.0,6.0,1.3,2.2,4.0
2023-06-28,07:00,1687914900,20.6,69.1,1,Partly cloudy,2.0,3.2,165,SSE,1008.0,29.78,0.0,0.0,87,34,20.6,69.1,20.6,69.1,20.6,69.1,18.4,65.1,0,0,0,0,10.0,6.0,2.9,4.7,6.0
2023-06-28,08:00,1687918500,23.0,73.4,1,Light rain shower,3.6,5.8,165,SSE,1009.0,29.78,0.8,0.03,81,63,25.1,77.2,23.0,73.4,25.1,77.2,19.5,67.1,0,0,0,0,10.0,6.0,4.5,7.2,5.0
2023-06-28,09:00,1687922100,24.1,75.4,1,Light rain shower,2.9,4.7,145,SE,1009.0,29.78,0.5,0.02,78,56,26.0,78.8,24.1,75.4,26.0,78.8,20.0,68.0,0,0,0,0,10.0,6.0,4.3,6.8,5.0
2023-06-28,10:00,1687925700,22.8,73.0,1,Light rain shower,2.7,4.3,109,ESE,1009.0,29.78,0.6,0.02,85,73,25.0,77.0,22.8,73.0,25.0,77.0,20.1,68.2,0,0,0,0,10.0,6.0,4.3,6.8,5.0
2023-06-28,11:00,1687929300,22.5,72.5,1,Moderate or heavy rain shower,2.2,3.6,82,E,1009.0,29.78,3.8,0.15,87,81,24.8,76.6,22.5,72.5,24.8,76.6,20.2,68.4,0,0,0,0,7.0,4.0,3.8,6.1,5.0
2023-06-28,12:00,1687932900,22.8,73.0,1,Light rain shower,0.7,1.1,145,SE,1008.0,29.76,0.5,0.02,84,68,25.0,77.0,22.8,73.0,25.0,77.0,20.0,68.0,0,0,0,0,10.0,6.0,0.9,1.4,5.0
2023-06-28,13:00,1687936500,25.2,77.4,1,Patchy rain possible,2.9,4.7,231,SW,1007.0,29.72,0.4,0.02,75,70,27.1,80.8,25.2,77.4,27.1,80.8,20.4,68.7,0,0,0,0,9.0,5.0,3.8,6.1,6.0
2023-06-28,14:00,1687940100,26.9,80.4,1,Patchy rain possible,3.1,5.0,236,WSW,1006.0,29.69,1.4,0.06,69,75,29.0,84.2,26.9,80.4,29.0,84.2,20.8,69.4,0,0,0,0,9.0,5.0,4.3,6.8,6.0
2023-06-28,15:00,1687943700,26.4,79.5,1,Patchy rain possible,3.1,5.0,227,SW,1005.0,29.68,0.7,0.03,70,83,28.3,82.9,26.4,79.5,28.3,82.9,20.5,68.9,0,0,0,0,9.0,5.0,4.9,7.9,6.0
2023-06-28,16:00,1687947300,25.2,77.4,1,Light rain shower,2.9,4.7,230,SW,1005.0,29.68,0.9,0.04,75,89,27.1,80.8,25.2,77.4,27.1,80.8,20.5,68.9,0,0,0,0,10.0,6.0,5.1,8.3,6.0
2023-06-28,17:00,1687950900,24.3,75.7,1,Moderate or heavy rain shower,2.2,3.6,221,SW,1005.0,29.69,6.1,0.24,81,75,26.3,79.3,24.3,75.7,26.3,79.3,20.9,69.6,0,0,0,0,7.0,4.0,4.5,7.2,5.0
2023-06-28,18:00,1687954500,22.5,72.5,1,Light rain shower,2.5,4.0,218,SW,1006.0,29.72,1.7,0.07,89,67,24.8,76.6,22.5,72.5,24.8,76.6,20.6,69.1,0,0,0,0,10.0,6.0,3.6,5.8,5.0
2023-06-28,19:00,1687958100,21.9,71.4,1,Patchy rain possible,2.7,4.3,225,SW,1007.0,29.74,1.5,0.06,92,80,21.9,71.4,21.9,71.4,24.5,76.1,20.6,69.1,0,0,0,0,9.0,5.0,4.5,7.2,5.0
2023-06-28,20:00,1687961700,20.9,69.6,0,Moderate or heavy rain shower,2.5,4.0,218,SW,1008.0,29.76,4.1,0.16,94,87,20.9,69.6,20.9,69.6,20.9,69.6,19.8,67.6,0,0,0,0,7.0,4.0,4.3,6.8,1.0
2023-06-28,21:00,1687965300,21.0,69.8,0,Patchy rain possible,2.0,3.2,208,SSW,1008.0,29.78,0.7,0.03,94,84,21.0,69.8,21.0,69.8,21.0,69.8,19.9,67.8,0,0,0,0,9.0,5.0,3.4,5.4,1.0
2023-06-28,22:00,1687968900,21.0,69.8,0,Light rain shower,1.8,2.9,203,SSW,1008.0,29.78,1.0,0.04,94,77,21.0,69.8,21.0,69.8,21.0,69.8,20.0,68.0,0,0,0,0,10.0,6.0,3.4,5.4,1.0
2023-06-28,23:00,1687972500,20.6,69.1,0,Moderate or heavy rain shower,2.5,4.0,197,SSW,1008.0,29.77,2.8,0.11,94,87,20.6,69.1,20.6,69.1,20.6,69.1,19.6,67.3,0,0,0,0,7.0,4.0,4.0,6.5,1.0
2023-06-27,00:00,1687803300,19.2,66.6,0,Patchy rain possible,2.2,3.6,228,SW,1006.0,29.7,0.6,0.02,93,82,19.2,66.6,19.2,66.6,19.2,66.6,18.1,64.6,0,0,0,0,9.0,5.0,4.5,7.2,1.0
2023-06-27,01:00,1687806900,19.0,66.2,0,Light rain shower,2.2,3.6,242,WSW,1006.0,29.69,0.8,0.03,94,75,19.0,66.2,19.0,66.2,19.0,66.2,18.0,64.4,0,0,0,0,10.0,6.0,4.5,7.2,1.0
2023-06-27,02:00,1687810500,18.9,66.0,0,Moderate or heavy rain shower,1.8,2.9,260,W,1005.0,29.68,3.3,0.13,94,51,18.9,66.0,18.9,66.0,18.9,66.0,18.0,64.4,0,0,0,0,7.0,4.0,3.6,5.8,1.0
2023-06-27,03:00,1687814100,18.7,65.7,0,Light rain shower,1.8,2.9,235,SW,1005.0,29.67,1.3,0.05,94,73,18.7,65.7,18.7,65.7,18.7,65.7,17.8,64.0,0,0,0,0,10.0,6.0,3.6,5.8,1.0
2023-06-27,04:00,1687817700,18.7,65.7,0,Light rain shower,2.7,4.3,231,SW,1005.0,29.69,1.3,0.05,94,53,18.7,65.7,18.7,65.7,18.7,65.7,17.8,64.0,0,0,0,0,10.0,6.0,5.4,8.6,1.0
2023-06-27,05:00,1687821300,18.9,66.0,0,Torrential rain shower,2.7,4.3,242,WSW,1006.0,29.7,7.6,0.3,94,54,18.9,66.0,18.9,66.0,18.9,66.0,17.9,64.2,0,0,0,0,3.0,1.0,5.6,9.0,1.0
2023-06-27,06:00,1687824900,19.5,67.1,1,Light rain shower,2.9,4.7,285,WNW,1006.0,29.72,0.3,0.01,93,53,19.5,67.1,19.5,67.1,19.5,67.1,18.3,64.9,0,0,0,0,10.0,6.0,4.7,7.6,4.0
2023-06-27,07:00,1687828500,20.6,69.1,1,Light rain shower,3.8,6.1,301,WNW,1007.0,29.72,0.2,0.01,89,58,20.6,69.1,20.6,69.1,20.6,69.1,18.6,65.5,0,0,0,0,10.0,6.0,5.1,8.3,5.0
2023-06-27,08:00,1687832100,21.9,71.4,1,Patchy rain possible,2.9,4.7,304,NW,1007.0,29.72,1.0,0.04,83,81,21.9,71.4,21.9,71.4,24.5,76.1,18.8,65.8,0,0,0,0,9.0,5.0,3.8,6.1,5.0
2023-06-27,09:00,1687835700,23.9,75.0,1,Patchy rain possible,1.3,2.2,281,WNW,1006.0,29.71,0.3,0.01,76,72,25.7,78.3,23.9,75.0,25.7,78.3,19.4,66.9,0,0,0,0,9.0,5.0,1.8,2.9,5.0
2023-06-27,10:00,1687839300,26.0,78.8,1,Patchy rain possible,1.6,2.5,224,SW,1006.0,29.69,0.3,0.01,71,84,27.8,82.0,26.0,78.8,27.8,82.0,20.3,68.5,0,0,0,0,9.0,5.0,2.2,3.6,6.0
2023-06-27,11:00,1687842900,27.9,82.2,1,Patchy rain possible,2.9,4.7,203,SSW,1005.0,29.67,2.1,0.08,69,70,30.6,87.1,27.9,82.2,30.6,87.1,21.7,71.1,0,0,0,0,9.0,5.0,4.5,7.2,6.0
2023-06-27,12:00,1687846500,27.4,81.3,1,Patchy rain possible,4.5,7.2,207,SSW,1004.0,29.65,1.3,0.05,71,82,30.0,86.0,27.4,81.3,30.0,86.0,21.7,71.1,0,0,0,0,9.0,5.0,6.0,9.7,6.0
2023-06-27,13:00,1687850100,26.7,80.1,1,Patchy rain possible,4.3,6.8,213,SSW,1003.0,29.63,1.4,0.06,73,76,29.1,84.4,26.7,80.1,29.1,84.4,21.5,70.7,0,0,0,0,9.0,5.0,6.9,11.2,6.0
2023-06-27,14:00,1687853700,26.2,79.2,1,Moderate or heavy rain shower,4.3,6.8,212,SSW,1003.0,29.62,5.0,0.2,75,70,28.4,83.1,26.2,79.2,28.4,83.1,21.4,70.5,0,0,0,0,7.0,4.0,7.8,12.6,6.0
2023-06-27,15:00,1687857300,25.3,77.5,1,Light rain shower,3.8,6.1,220,SW,1003.0,29.63,1.8,0.07,78,75,27.3,81.1,25.3,77.5,27.3,81.1,21.1,70.0,0,0,0,0,10.0,6.0,7.6,12.2,6.0
2023-06-27,16:00,1687860900,24.7,76.5,1,Light rain shower,3.1,5.0,226,SW,1004.0,29.64,2.0,0.08,81,71,26.8,80.2,24.7,76.5,26.8,80.2,21.2,70.2,0,0,0,0,10.0,6.0,6.7,10.8,5.0
2023-06-27,17:00,1687864500,23.6,74.5,1,Torrential rain shower,2.2,3.6,228,SW,1005.0,29.66,11.8,0.46,86,76,25.7,78.3,23.6,74.5,25.7,78.3,21.1,70.0,0,0,0,0,3.0,1.0,4.7,7.6,5.0
2023-06-27,18:00,1687868100,22.4,72.3,1,Light rain shower,2.0,3.2,223,SW,1005.0,29.69,2.1,0.08,90,87,24.8,76.6,22.4,72.3,24.8,76.6,20.7,69.3,0,0,0,0,10.0,6.0,2.9,4.7,5.0
2023-06-27,19:00,1687871700,22.2,72.0,1,Light rain shower,1.3,2.2,222,SW,1006.0,29.71,1.9,0.07,92,79,24.7,76.5,22.2,72.0,24.7,76.5,20.9,69.6,0,0,0,0,10.0,6.0,2.2,3.6,5.0
2023-06-27,20:00,1687875300,21.4,70.5,0,Moderate or heavy rain shower,0.2,0.4,312,NW,1007.0,29.72,5.6,0.22,93,78,21.4,70.5,21.4,70.5,24.2,75.6,20.2,68.4,0,0,0,0,7.0,4.0,0.4,0.7,1.0
2023-06-27,21:00,1687878900,21.4,70.5,0,Light rain shower,0.9,1.4,262,W,1007.0,29.75,1.9,0.07,93,78,21.4,70.5,21.4,70.5,24.2,75.6,20.2,68.4,0,0,0,0,10.0,6.0,1.8,2.9,1.0
2023-06-27,22:00,1687882500,21.0,69.8,0,Light rain shower,0.7,1.1,307,NW,1008.0,29.76,2.0,0.08,95,60,21.0,69.8,21.0,69.8,21.0,69.8,20.1,68.2,0,0,0,0,10.0,6.0,1.3,2.2,1.0
2023-06-27,23:00,1687886100,20.7,69.3,0,Torrential rain shower,0.9,1.4,331,NNW,1008.0,29.76,11.7,0.46,95,67,20.7,69.3,20.7,69.3,20.7,69.3,19.9,67.8,0,0,0,0,3.0,1.0,1.8,2.9,1.0
2023-06-26,00:00,1687716900,19.6,67.3,0,Partly cloudy,1.1,1.8,162,SSE,1006.0,29.72,0.0,0.0,92,34,19.6,67.3,19.6,67.3,19.6,67.3,18.2,64.8,0,0,0,0,10.0,6.0,2.2,3.6,1.0
2023-06-26,01:00,1687720500,19.4,66.9,0,Patchy rain possible,0.0,0.0,303,WNW,1006.0,29.71,0.1,0.0,92,79,19.4,66.9,19.4,66.9,19.4,66.9,18.1,64.6,0,0,0,0,10.0,6.0,0.0,0.0,1.0
2023-06-26,02:00,1687724100,19.1,66.4,0,Patchy rain possible,0.4,0.7,350,N,1006.0,29.7,1.1,0.04,93,72,19.1,66.4,19.1,66.4,19.1,66.4,17.9,64.2,0,0,0,0,9.0,5.0,0.9,1.4,1.0
2023-06-26,03:00,1687727700,18.7,65.7,0,Patchy rain possible,0.2,0.4,358,N,1005.0,29.69,0.4,0.02,93,74,18.7,65.7,18.7,65.7,18.7,65.7,17.5,63.5,0,0,0,0,9.0,5.0,0.4,0.7,1.0
2023-06-26,04:00,1687731300,18.6,65.5,0,Patchy rain possible,1.1,1.8,298,WNW,1006.0,29.7,0.4,0.02,92,88,18.6,65.5,18.6,65.5,18.6,65.5,17.3,63.1,0,0,0,0,9.0,5.0,2.2,3.6,1.0
2023-06-26,05:00,1687734900,18.8,65.8,0,Moderate or heavy rain shower,2.5,4.0,305,NW,1006.0,29.72,2.5,0.1,92,88,18.8,65.8,18.8,65.8,18.8,65.8,17.5,63.5,0,0,0,0,7.0,4.0,4.7,7.6,1.0
2023-06-26,06:00,1687738500,20.1,68.2,1,Patchy rain possible,2.0,3.2,281,WNW,1007.0,29.73,0.2,0.01,88,82,20.1,68.2,20.1,68.2,20.1,68.2,18.0,64.4,0,0,0,0,9.0,5.0,3.1,5.0,5.0
2023-06-26,07:00,1687742100,21.3,70.3,1,Patchy rain possible,1.8,2.9,270,W,1007.0,29.74,0.2,0.01,84,83,21.3,70.3,21.3,70.3,24.3,75.7,18.4,65.1,0,0,0,0,9.0,5.0,2.5,4.0,5.0
2023-06-26,08:00,1687745700,22.5,72.5,1,Patchy rain possible,0.9,1.4,266,W,1007.0,29.74,1.4,0.06,79,80,24.8,76.6,22.5,72.5,24.8,76.6,18.6,65.5,0,0,0,0,9.0,5.0,1.3,2.2,5.0
2023-06-26,09:00,1687749300,23.6,74.5,1,Patchy rain possible,2.0,3.2,241,WSW,1007.0,29.73,0.5,0.02,75,77,25.5,77.9,23.6,74.5,25.5,77.9,19.0,66.2,0,0,0,0,9.0,5.0,2.9,4.7,5.0
2023-06-26,10:00,1687752900,25.2,77.4,1,Patchy rain possible,2.2,3.6,243,WSW,1006.0,29.71,0.6,0.02,73,81,26.9,80.4,25.2,77.4,26.9,80.4,19.9,67.8,0,0,0,0,9.0,5.0,3.6,5.8,6.0
2023-06-26,11:00,1687756500,27.3,81.1,1,Moderate or heavy rain shower,3.6,5.8,237,WSW,1006.0,29.69,4.2,0.17,72,86,29.9,85.8,27.3,81.1,29.9,85.8,21.7,71.1,0,0,0,0,7.0,4.0,6.3,10.1,6.0
2023-06-26,12:00,1687760100,27.0,80.6,1,Patchy rain possible,4.3,6.8,230,SW,1005.0,29.67,1.3,0.05,72,74,29.4,84.9,27.0,80.6,29.4,84.9,21.5,70.7,0,0,0,0,9.0,5.0,5.8,9.4,6.0
2023-06-26,13:00,1687763700,27.0,80.6,1,Patchy rain possible,4.0,6.5,224,SW,1004.0,29.65,1.4,0.06,72,87,29.4,84.9,27.0,80.6,29.4,84.9,21.4,70.5,0,0,0,0,9.0,5.0,6.5,10.4,6.0
2023-06-26,14:00,1687767300,26.9,80.4,1,Moderate or heavy rain shower,3.8,6.1,214,SW,1003.0,29.63,4.1,0.16,72,80,29.2,84.6,26.9,80.4,29.2,84.6,21.4,70.5,0,0,0,0,7.0,4.0,6.7,10.8,6.0
2023-06-26,15:00,1687770900,26.3,79.3,1,Patchy rain possible,3.6,5.8,215,SW,1003.0,29.62,1.4,0.06,73,83,28.4,83.1,26.3,79.3,28.4,83.1,21.2,70.2,0,0,0,0,9.0,5.0,6.7,10.8,6.0
2023-06-26,16:00,1687774500,25.5,77.9,1,Patchy rain possible,3.4,5.4,231,SW,1003.0,29.62,1.4,0.06,77,82,27.6,81.7,25.5,77.9,27.6,81.7,21.1,70.0,0,0,0,0,9.0,5.0,6.7,10.8,6.0
2023-06-26,17:00,1687778100,24.6,76.3,1,Torrential rain shower,2.7,4.3,238,WSW,1004.0,29.64,8.4,0.33,82,82,26.7,80.1,24.6,76.3,26.7,80.1,21.3,70.3,0,0,0,0,3.0,1.0,5.6,9.0,5.0
2023-06-26,18:00,1687781700,23.0,73.4,1,Light rain shower,2.5,4.0,228,SW,1005.0,29.66,2.1,0.08,87,86,25.2,77.4,23.0,73.4,25.2,77.4,20.8,69.4,0,0,0,0,10.0,6.0,3.6,5.8,5.0
2023-06-26,19:00,1687785300,22.2,72.0,1,Light rain shower,3.4,5.4,225,SW,1005.0,29.69,2.3,0.09,89,55,24.6,76.3,22.2,72.0,24.6,76.3,20.2,68.4,0,0,0,0,10.0,6.0,6.0,9.7,5.0
2023-06-26,20:00,1687788900,21.8,71.2,0,Moderate or heavy rain shower,3.4,5.4,215,SW,1006.0,29.7,6.3,0.25,87,78,21.8,71.2,21.8,71.2,24.4,75.9,19.5,67.1,0,0,0,0,7.0,4.0,6.5,10.4,1.0
2023-06-26,21:00,1687792500,21.9,71.4,0,Light rain shower,3.1,5.0,204,SSW,1006.0,29.72,1.8,0.07,87,74,21.9,71.4,21.9,71.4,24.5,76.1,19.6,67.3,0,0,0,0,10.0,6.0,6.3,10.1,1.0
2023-06-26,22:00,1687796100,21.4,70.5,0,Light rain shower,2.2,3.6,207,SSW,1007.0,29.72,1.5,0.06,88,55,21.4,70.5,21.4,70.5,24.3,75.7,19.4,66.9,0,0,0,0,10.0,6.0,4.5,7.2,1.0
2023-06-26,23:00,1687799700,20.6,69.1,0,Torrential rain shower,0.4,0.7,180,S,1006.0,29.72,8.6,0.34,89,64,20.6,69.1,20.6,69.1,20.6,69.1,18.8,65.8,0,0,0,0,3.0,1.0,0.9,1.4,1.0
2023-06-25,00:00,1687630500,20.8,69.4,0,Light rain shower,2.9,4.7,156,SSE,1005.0,29.68,1.8,0.07,91,100,20.8,69.4,20.8,69.4,20.8,69.4,19.3,66.7,0,0,0,0,10.0,6.0,5.4,8.6,1.0
2023-06-25,01:00,1687634100,19.8,67.6,0,Moderate or heavy rain shower,3.1,5.0,90,E,1006.0,29.69,2.7,0.11,94,54,19.8,67.6,19.8,67.6,19.8,67.6,18.8,65.8,0,0,0,0,7.0,4.0,6.0,9.7,1.0
2023-06-25,02:00,1687637700,19.4,66.9,0,Torrential rain shower,2.7,4.3,100,E,1005.0,29.68,7.6,0.3,96,75,19.4,66.9,19.4,66.9,19.4,66.9,18.7,65.7,0,0,0,0,3.0,1.0,5.4,8.6,1.0
2023-06-25,03:00,1687641300,19.3,66.7,0,Light rain shower,1.6,2.5,116,ESE,1005.0,29.68,2.3,0.09,97,87,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,10.0,6.0,3.1,5.0,1.0
2023-06-25,04:00,1687644900,19.3,66.7,0,Light rain shower,1.6,2.5,56,ENE,1006.0,29.7,2.2,0.09,97,94,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,10.0,6.0,3.4,5.4,1.0
2023-06-25,05:00,1687648500,19.3,66.7,0,Torrential rain shower,2.0,3.2,15,NNE,1006.0,29.72,13.2,0.52,97,89,19.3,66.7,19.3,66.7,19.3,66.7,18.8,65.8,0,0,0,0,3.0,1.0,4.3,6.8,1.0
2023-06-25,06:00,1687652100,19.6,67.3,1,Patchy light drizzle,1.3,2.2,302,WNW,1007.0,29.73,0.6,0.02,95,74,19.6,67.3,19.6,67.3,19.6,67.3,18.8,65.8,0,0,0,0,5.0,3.0,2.2,3.6,4.0
2023-06-25,07:00,1687655700,20.1,68.2,1,Light rain shower,3.1,5.0,322,NW,1007.0,29.75,0.4,0.02,93,64,20.1,68.2,20.1,68.2,20.1,68.2,18.9,66.0,0,0,0,0,10.0,6.0,4.9,7.9,5.0
2023-06-25,08:00,1687659300,20.4,68.7,1,Light rain shower,1.3,2.2,232,SW,1007.0,29.74,1.2,0.05,91,81,20.4,68.7,20.4,68.7,20.4,68.7,18.9,66.0,0,0,0,0,10.0,6.0,2.0,3.2,5.0
2023-06-25,09:00,1687662900,22.4,72.3,1,Patchy rain possible,2.9,4.7,241,WSW,1007.0,29.75,0.4,0.02,86,80,24.7,76.5,22.4,72.3,24.7,76.5,19.9,67.8,0,0,0,0,9.0,5.0,3.8,6.1,5.0
2023-06-25,10:00,1687666500,24.5,76.1,1,Light rain shower,2.7,4.3,277,W,1007.0,29.73,0.4,0.02,79,57,26.4,79.5,24.5,76.1,26.4,79.5,20.5,68.9,0,0,0,0,10.0,6.0,3.8,6.1,5.0
